Date,Time,Open,High,Low,Close,Volume
2012.08.13,8:00,1.5666,1.568,1.5655,1.5665,6027
2012.08.13,12:00,1.5664,1.5716,1.5662,1.5712,7097
2012.08.13,16:00,1.5711,1.5715,1.5678,1.5688,4725
2012.08.13,20:00,1.5689,1.5696,1.5679,1.5679,2022
2012.08.14,0:00,1.568,1.5695,1.5672,1.5687,3811
2012.08.14,4:00,1.5685,1.5698,1.5679,1.5688,3855
2012.08.14,8:00,1.5689,1.5729,1.5686,1.5698,10391
2012.08.14,12:00,1.5697,1.5719,1.5669,1.5683,9964
2012.08.14,16:00,1.5682,1.5702,1.567,1.5688,7165
2012.08.14,20:00,1.569,1.5693,1.5673,1.5677,3832
2012.08.15,0:00,1.5675,1.5679,1.5662,1.5664,4064
2012.08.15,4:00,1.5665,1.5676,1.5663,1.5672,3028
2012.08.15,8:00,1.5671,1.57,1.5659,1.5684,8962
2012.08.15,12:00,1.5685,1.5695,1.5666,1.5681,10108
2012.08.15,16:00,1.5682,1.5701,1.5668,1.5684,6748
2012.08.15,20:00,1.5686,1.5691,1.5677,1.5681,2878
2012.08.16,0:00,1.5679,1.5689,1.5673,1.568,3903
2012.08.16,4:00,1.5679,1.5684,1.5664,1.5667,4101
2012.08.16,8:00,1.5665,1.5712,1.5635,1.5693,7785
2012.08.16,12:00,1.5692,1.5738,1.5687,1.5728,7596
2012.08.16,16:00,1.5727,1.5744,1.5716,1.5739,6400
2012.08.16,20:00,1.5741,1.5744,1.5726,1.5734,3589
2012.08.17,0:00,1.5735,1.5739,1.5726,1.573,2829
2012.08.17,4:00,1.5731,1.5736,1.5698,1.5708,2049
2012.08.17,8:00,1.5706,1.573,1.5703,1.571,3528
2012.08.17,12:00,1.5709,1.5729,1.5685,1.5712,3813
2012.08.17,16:00,1.571,1.5713,1.5673,1.569,3579
2012.08.17,20:00,1.5691,1.5704,1.568,1.5694,1362
2012.08.20,0:00,1.5695,1.5699,1.5676,1.5683,3796
2012.08.20,4:00,1.5682,1.5698,1.5678,1.5693,3496
2012.08.20,8:00,1.5694,1.5717,1.5691,1.5701,10182
2012.08.20,12:00,1.57,1.5704,1.5681,1.5693,11745
2012.08.20,16:00,1.5692,1.5716,1.5689,1.5705,7259
2012.08.20,20:00,1.5703,1.5716,1.5702,1.571,4294
2012.08.21,0:00,1.5708,1.572,1.5704,1.5717,3409
2012.08.21,4:00,1.5719,1.5729,1.5713,1.5725,3318
2012.08.21,8:00,1.5727,1.5778,1.5722,1.5759,9714
2012.08.21,12:00,1.5758,1.5778,1.5746,1.5773,9909
2012.08.21,16:00,1.5774,1.5804,1.5769,1.5784,3736
2012.08.21,20:00,1.5783,1.5791,1.577,1.5781,3487
2012.08.22,0:00,1.578,1.5781,1.5764,1.5774,2081
2012.08.22,4:00,1.5773,1.579,1.5768,1.5778,1760
2012.08.22,8:00,1.5776,1.5816,1.5767,1.5796,3341
2012.08.22,12:00,1.5795,1.5808,1.577,1.5796,3678
2012.08.22,16:00,1.5795,1.5817,1.5789,1.5794,4774
2012.08.22,20:00,1.5795,1.5882,1.5794,1.588,5939
2012.08.23,0:00,1.5881,1.5906,1.5871,1.5899,3370
2012.08.23,4:00,1.59,1.5903,1.5889,1.5892,3199
2012.08.23,8:00,1.5891,1.5911,1.5867,1.587,7179
2012.08.23,12:00,1.5869,1.588,1.5861,1.5864,7184
2012.08.23,16:00,1.5865,1.5891,1.5857,1.5865,5432
2012.08.23,20:00,1.5864,1.5869,1.5854,1.5857,2378
2012.08.24,0:00,1.5859,1.5863,1.5851,1.5855,3377
2012.08.24,4:00,1.5857,1.5868,1.5853,1.5858,2421
2012.08.24,8:00,1.5859,1.5869,1.5823,1.5847,5529
2012.08.24,12:00,1.5848,1.5851,1.5812,1.5818,5457
2012.08.24,16:00,1.5815,1.5838,1.5805,1.5824,4401
2012.08.24,20:00,1.5826,1.5828,1.5801,1.5809,1710
2012.08.27,0:00,1.5814,1.5819,1.5796,1.5809,4469
2012.08.27,4:00,1.581,1.5812,1.5799,1.581,3503
2012.08.27,8:00,1.5812,1.5829,1.58,1.58,6940
2012.08.27,12:00,1.5801,1.5818,1.5794,1.5799,7048
2012.08.27,16:00,1.5798,1.581,1.579,1.5797,5520
2012.08.27,20:00,1.5798,1.5801,1.5786,1.579,3539
2012.08.28,0:00,1.5788,1.5793,1.5753,1.576,5883
2012.08.28,4:00,1.5761,1.5794,1.5754,1.5788,5357
2012.08.28,8:00,1.5789,1.5794,1.5766,1.5787,11792
2012.08.28,12:00,1.5788,1.5814,1.5775,1.5806,10794
2012.08.28,16:00,1.5807,1.5836,1.5804,1.5822,8817
2012.08.28,20:00,1.582,1.583,1.5813,1.5818,3288
