,Date,Time,Open,High,Low,Close,Volume,Date_Time
14627,2023-05-01 05:00:00,05:00,1981.86,1983.68,1981.49,1982.57,9734,2023.05.01 05:00
14628,2023-05-01 06:00:00,06:00,1982.57,1983.32,1980.51,1983.25,8142,2023.05.01 06:00
14629,2023-05-01 07:00:00,07:00,1983.26,1986.29,1982.4,1984.13,10248,2023.05.01 07:00
14630,2023-05-01 08:00:00,08:00,1984.12,1984.12,1979.78,1981.98,10419,2023.05.01 08:00
14631,2023-05-01 09:00:00,09:00,1981.99,1981.99,1979.39,1979.75,10801,2023.05.01 09:00
14632,2023-05-01 10:00:00,10:00,1979.76,1981.29,1978.86,1980.85,11701,2023.05.01 10:00
14633,2023-05-01 11:00:00,11:00,1980.84,1981.2,1977.03,1977.23,10398,2023.05.01 11:00
14634,2023-05-01 12:00:00,12:00,1977.22,1985.12,1976.97,1984.55,11874,2023.05.01 12:00
14635,2023-05-01 13:00:00,13:00,1984.56,1988.68,1984.44,1988.47,10692,2023.05.01 13:00
14636,2023-05-01 14:00:00,14:00,1988.48,1989.84,1986.77,1988.93,14832,2023.05.01 14:00
14637,2023-05-01 15:00:00,15:00,1988.9,2005.18,1988.17,2003.82,32549,2023.05.01 15:00
14638,2023-05-01 16:00:00,16:00,2003.81,2005.89,1996.99,1997.13,31216,2023.05.01 16:00
14639,2023-05-01 17:00:00,17:00,1997.12,1997.13,1982.9,1984.18,34514,2023.05.01 17:00
14640,2023-05-01 18:00:00,18:00,1984.19,1985.14,1980.44,1982.89,28633,2023.05.01 18:00
14641,2023-05-01 19:00:00,19:00,1982.87,1983.96,1979.83,1981.54,19466,2023.05.01 19:00
14642,2023-05-01 20:00:00,20:00,1981.55,1983.89,1979.82,1982.06,17741,2023.05.01 20:00
14643,2023-05-01 21:00:00,21:00,1982.06,1983.23,1980.49,1980.69,13430,2023.05.01 21:00
14644,2023-05-01 22:00:00,22:00,1980.7,1981.58,1979.34,1979.65,15547,2023.05.01 22:00
14645,2023-05-01 23:00:00,23:00,1979.65,1982.52,1979.63,1982.18,6655,2023.05.01 23:00
14646,2023-05-02 01:00:00,01:00,1981.96,1983.19,1981.05,1982.56,3746,2023.05.02 01:00
14647,2023-05-02 02:00:00,02:00,1982.57,1982.81,1980.63,1981.33,6025,2023.05.02 02:00
14648,2023-05-02 03:00:00,03:00,1981.31,1983.59,1981.23,1982.02,12089,2023.05.02 03:00
14649,2023-05-02 04:00:00,04:00,1982.02,1985.09,1981.82,1983.09,14029,2023.05.02 04:00
14650,2023-05-02 05:00:00,05:00,1983.09,1983.24,1981.2,1982.71,10156,2023.05.02 05:00
14651,2023-05-02 06:00:00,06:00,1982.71,1982.8,1981.42,1982.04,8913,2023.05.02 06:00
14652,2023-05-02 07:00:00,07:00,1982.05,1982.84,1981.29,1982.12,10198,2023.05.02 07:00
14653,2023-05-02 08:00:00,08:00,1982.13,1984.15,1981.25,1982.69,11612,2023.05.02 08:00
14654,2023-05-02 09:00:00,09:00,1982.68,1985.55,1982.1,1984.61,15834,2023.05.02 09:00
14655,2023-05-02 10:00:00,10:00,1984.62,1985.65,1980.39,1981.24,19806,2023.05.02 10:00
14656,2023-05-02 11:00:00,11:00,1981.23,1982.17,1978.38,1981.21,19698,2023.05.02 11:00
14657,2023-05-02 12:00:00,12:00,1981.21,1986.27,1980.46,1984.02,17656,2023.05.02 12:00
14658,2023-05-02 13:00:00,13:00,1984.02,1988.34,1983.2,1988.15,16150,2023.05.02 13:00
14659,2023-05-02 14:00:00,14:00,1988.17,1990.06,1985.7,1986.29,18620,2023.05.02 14:00
14660,2023-05-02 15:00:00,15:00,1986.29,1987.81,1985.09,1985.57,21055,2023.05.02 15:00
14661,2023-05-02 16:00:00,16:00,1985.59,1989.39,1984.35,1986.85,28586,2023.05.02 16:00
14662,2023-05-02 17:00:00,17:00,1986.86,2012.86,1986.86,2007.49,39814,2023.05.02 17:00
14663,2023-05-02 18:00:00,18:00,2007.49,2015.38,2006.7,2014.31,38103,2023.05.02 18:00
14664,2023-05-02 19:00:00,19:00,2014.32,2019.26,2013.46,2015.02,30429,2023.05.02 19:00
14665,2023-05-02 20:00:00,20:00,2015.01,2016.88,2011.1,2012.22,21960,2023.05.02 20:00
14666,2023-05-02 21:00:00,21:00,2012.21,2015.56,2011.18,2014.21,20539,2023.05.02 21:00
14667,2023-05-02 22:00:00,22:00,2014.19,2018.3,2014.14,2018.1,19961,2023.05.02 22:00
14668,2023-05-02 23:00:00,23:00,2018.12,2018.16,2015.73,2016.38,7132,2023.05.02 23:00
14669,2023-05-03 01:00:00,01:00,2016.42,2016.69,2015.38,2015.58,4505,2023.05.03 01:00
